Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
"Secretary, company",Healthcare,Increasing,Moderate,73896.17,PhD,7,2418,6506,49.57,86.61,Canada,47.8
"Social research officer, government",Healthcare,Increasing,High,124878.68,Bachelor’s Degree,17,5739,2766,51.05,7.3,Brazil,29.6
Ranger/warden,Entertainment,Increasing,Moderate,50889.64,Bachelor’s Degree,2,3278,6885,82.47,14.05,India,79.76
"Research officer, political party",Entertainment,Increasing,Moderate,59163.94,Master’s Degree,12,5781,2357,16.75,93.23,Brazil,34.28
Radio broadcast assistant,Healthcare,Decreasing,High,128898.08,Associate Degree,15,110,5146,1.42,83.31,Brazil,48.94
Artist,Entertainment,Decreasing,Low,53511.49,Bachelor’s Degree,14,1637,1051,81.14,45.5,China,77.61
Public relations officer,Manufacturing,Decreasing,High,31078.87,High School,14,2426,6860,94.29,10.57,Australia,63.64
Engineering geologist,Healthcare,Decreasing,High,34242.51,Bachelor’s Degree,0,8075,3519,98.53,3.62,Canada,23.71
Merchant navy officer,Manufacturing,Increasing,High,116412.7,High School,13,2687,5923,81.03,19.59,USA,36.74
Video editor,IT,Increasing,Moderate,131316.65,PhD,3,7491,4785,63.86,60.63,USA,41.8
Health and safety inspector,Finance,Decreasing,Low,106713.16,Associate Degree,9,3028,4887,57.37,63.6,Canada,32.16
Barrister,Entertainment,Decreasing,High,144715.48,PhD,7,6464,3487,29.65,52.43,India,44.52
Firefighter,Entertainment,Increasing,Moderate,56449.98,Associate Degree,17,1147,679,33.86,21.22,Germany,65.09
"Teacher, secondary school",Retail,Increasing,High,73374.22,High School,4,3419,1537,88.42,31.93,USA,22.47
"Teacher, early years/pre",Transportation,Increasing,Low,42617.04,High School,1,9871,2137,12.19,44.02,India,28.25
Quarry manager,Entertainment,Decreasing,Moderate,147897.42,High School,9,9733,3445,27.72,5.92,Brazil,72.81
Chartered management accountant,Entertainment,Decreasing,Low,99146.37,High School,6,375,9932,69.1,44.84,India,26.95
Commercial horticulturist,Education,Decreasing,High,70935.31,PhD,8,2920,7453,41.96,13.13,Canada,76.16
"Production designer, theatre/television/film",Manufacturing,Decreasing,Moderate,51543.59,Associate Degree,0,1149,5984,48.56,45.08,China,26.46
Art gallery manager,Finance,Decreasing,Moderate,45813.5,Master’s Degree,19,2929,929,42.52,78.48,India,20.61
"Programmer, systems",Healthcare,Decreasing,High,51078.05,High School,5,658,3273,17.65,6.61,UK,49.73
"Geneticist, molecular",IT,Decreasing,Moderate,77768.63,High School,20,9966,2864,96.38,2.89,Germany,73.67
Film/video editor,Education,Decreasing,High,142478.74,Master’s Degree,7,5667,1820,58.35,88.84,Australia,38.72
Fish farm manager,Entertainment,Decreasing,Moderate,56497.72,Bachelor’s Degree,4,1284,8287,50.1,84.71,India,66.34
Estate agent,Retail,Decreasing,Low,59439.3,Associate Degree,10,7332,9846,83.56,17.9,USA,57.62
"Doctor, hospital",Manufacturing,Decreasing,High,105356.7,Master’s Degree,9,9687,3303,70.77,70.38,Brazil,40.03
Tourism officer,Manufacturing,Decreasing,Moderate,109377.0,Bachelor’s Degree,15,6223,3525,7.47,27.45,Germany,31.78
Occupational psychologist,Manufacturing,Decreasing,Moderate,123773.43,Associate Degree,0,3504,6647,12.52,36.61,Canada,60.28
"Horticulturist, commercial",Manufacturing,Increasing,Low,35531.05,Master’s Degree,13,5013,6506,25.51,99.87,UK,28.01
"Programmer, multimedia",Entertainment,Decreasing,Moderate,57167.19,Bachelor’s Degree,0,6994,6761,90.17,63.02,Germany,40.41
Associate Professor,Finance,Increasing,High,49852.96,Master’s Degree,16,5006,2169,84.29,28.53,UK,49.69
Best boy,IT,Decreasing,Low,62770.01,High School,5,4720,9580,41.89,43.09,UK,66.03
Podiatrist,IT,Decreasing,High,32060.54,High School,8,1015,8746,33.98,81.07,UK,46.45
Customer service manager,Manufacturing,Decreasing,Low,137138.65,High School,10,7264,6616,59.55,28.44,Australia,60.27
"Engineer, drilling",Education,Increasing,Moderate,102986.3,PhD,6,4482,1329,50.15,84.03,UK,35.12
"Research officer, government",Finance,Decreasing,High,100035.86,Associate Degree,5,3406,975,74.45,33.0,Germany,41.92
Ranger/warden,Transportation,Increasing,Low,61779.21,PhD,18,5921,393,59.83,68.41,India,23.05
IT sales professional,IT,Decreasing,Low,128894.43,Associate Degree,2,6855,157,34.92,21.61,China,20.5
"Embryologist, clinical",Finance,Increasing,Moderate,91828.78,Bachelor’s Degree,5,8141,4266,30.16,58.04,USA,25.48
"Engineer, maintenance",Entertainment,Decreasing,Moderate,68621.33,Master’s Degree,18,8647,2890,51.88,59.78,UK,32.19
Mining engineer,Retail,Decreasing,High,54577.21,High School,18,9979,6874,92.23,20.09,USA,40.82
Lexicographer,Entertainment,Increasing,Low,122034.74,PhD,17,2172,7296,86.34,77.48,Brazil,34.41
Nutritional therapist,Transportation,Decreasing,High,53500.02,Associate Degree,1,824,4050,97.01,10.35,Germany,65.31
English as a foreign language teacher,Entertainment,Decreasing,Moderate,104052.31,Bachelor’s Degree,15,6715,7258,9.13,23.28,India,73.43
Proofreader,Education,Decreasing,Moderate,115654.32,High School,11,5702,3743,88.35,94.3,Brazil,71.2
"Accountant, chartered public finance",Retail,Decreasing,Moderate,99643.76,PhD,19,6562,3850,29.07,24.43,Brazil,51.71
Energy manager,Transportation,Increasing,Low,67078.35,Bachelor’s Degree,14,8639,1630,2.22,45.98,Germany,37.67
Insurance account manager,Retail,Increasing,Low,134603.26,Master’s Degree,8,9438,5228,95.23,8.46,Brazil,71.48
Chiropractor,Education,Increasing,Low,94403.58,Bachelor’s Degree,18,9519,3668,96.6,50.5,China,61.65
Counselling psychologist,Education,Decreasing,Low,145149.87,Bachelor’s Degree,17,3316,783,30.29,60.51,UK,42.6
Advertising art director,Healthcare,Increasing,Moderate,128667.57,High School,6,907,9649,77.51,62.74,Brazil,79.39
"Engineer, maintenance",Entertainment,Increasing,Moderate,53936.4,Bachelor’s Degree,12,700,8809,65.51,99.21,India,73.63
Dance movement psychotherapist,Education,Increasing,Moderate,34740.15,PhD,3,1717,4809,56.83,71.65,Germany,57.42
Environmental education officer,Finance,Increasing,Moderate,81128.37,Associate Degree,15,2676,7190,89.13,87.22,India,55.87
Minerals surveyor,IT,Increasing,Moderate,147918.41,Master’s Degree,14,4295,3529,10.6,18.76,Canada,52.06
Sports development officer,Education,Decreasing,Moderate,132097.22,High School,19,4837,2021,3.42,0.0,UK,21.8
Broadcast engineer,Manufacturing,Decreasing,High,32730.36,High School,8,1850,1957,60.76,29.91,Australia,39.38
Public relations officer,IT,Increasing,Low,93560.89,Bachelor’s Degree,7,4216,291,70.74,4.88,India,38.34
Facilities manager,Transportation,Decreasing,Low,88431.0,PhD,1,9570,9034,0.03,10.18,Brazil,54.66
Higher education careers adviser,IT,Increasing,Low,101491.69,Master’s Degree,14,8665,3086,54.77,69.77,India,76.63
"Conservation officer, nature",Finance,Decreasing,Moderate,73955.87,PhD,7,308,7408,13.89,24.96,Australia,70.52
Psychiatrist,Transportation,Decreasing,Low,141613.01,High School,13,584,4128,94.69,82.04,Brazil,49.42
Medical laboratory scientific officer,Transportation,Increasing,Low,133240.67,Master’s Degree,9,2639,3655,99.19,36.79,Brazil,34.13
Armed forces training and education officer,Transportation,Increasing,High,67652.3,Bachelor’s Degree,14,8310,221,91.25,83.67,Germany,22.16
Technical sales engineer,Transportation,Increasing,Low,114426.05,PhD,14,3455,2674,71.24,73.72,UK,58.15
Manufacturing engineer,Manufacturing,Increasing,Moderate,116116.11,High School,6,9641,7657,1.53,25.55,UK,65.28
"Sound technician, broadcasting/film/video",Healthcare,Increasing,Low,130733.65,Master’s Degree,8,3578,5324,74.99,99.53,Canada,35.36
"Scientist, research (medical)",IT,Decreasing,High,102323.25,Bachelor’s Degree,18,422,8114,25.07,98.91,Australia,59.86
Emergency planning/management officer,IT,Decreasing,High,73779.9,High School,18,7662,6942,55.8,55.64,Brazil,48.84
Site engineer,Transportation,Decreasing,High,53179.03,High School,3,5128,3881,46.89,25.54,Brazil,68.1
"Surveyor, insurance",Education,Increasing,High,47123.78,Bachelor’s Degree,16,5125,4315,37.64,78.25,India,31.31
Database administrator,Education,Increasing,Low,67628.82,High School,6,2403,3805,78.83,68.91,USA,59.3
"Designer, multimedia",Entertainment,Decreasing,High,108065.43,High School,14,3776,1113,82.15,72.93,UK,56.08
Film/video editor,Education,Decreasing,Moderate,126250.0,Bachelor’s Degree,3,3943,1897,61.87,39.69,UK,54.18
"Engineer, manufacturing",Retail,Decreasing,Low,143237.92,Bachelor’s Degree,12,1191,5624,1.79,10.33,UK,43.03
Art gallery manager,Manufacturing,Decreasing,Low,92414.4,PhD,3,9909,5471,41.67,76.35,Australia,29.5
Museum/gallery exhibitions officer,Education,Increasing,Low,146242.24,PhD,19,1116,7765,36.21,67.88,USA,44.66
Civil Service administrator,Transportation,Decreasing,Low,45689.52,PhD,4,9737,6691,9.53,44.17,Canada,74.19
Warden/ranger,Healthcare,Decreasing,Moderate,106923.74,Bachelor’s Degree,14,1312,6323,15.85,24.04,Germany,21.29
Fine artist,Education,Increasing,High,55742.49,Bachelor’s Degree,17,8504,6784,88.82,69.13,Canada,43.53
Community arts worker,Education,Decreasing,High,61143.93,PhD,3,143,8740,94.44,97.6,Australia,78.68
"Scientist, marine",Education,Increasing,High,128776.43,Bachelor’s Degree,11,4532,1192,77.56,1.77,USA,41.92
"Education officer, museum",Entertainment,Decreasing,High,96111.05,Master’s Degree,15,1340,931,88.2,0.09,China,45.46
Primary school teacher,Manufacturing,Increasing,Low,146679.31,Associate Degree,14,6852,9178,48.83,6.9,USA,61.98
Environmental consultant,Retail,Increasing,Moderate,85943.06,Bachelor’s Degree,13,7581,3840,16.05,70.47,UK,60.64
Sports administrator,IT,Increasing,Moderate,58162.24,Bachelor’s Degree,11,594,6666,97.15,13.15,Canada,45.28
Retail buyer,Entertainment,Decreasing,High,132569.64,PhD,15,4243,8059,88.14,63.09,Canada,49.11
"Engineer, communications",Healthcare,Decreasing,Low,100035.75,Master’s Degree,18,9601,5165,83.95,0.13,India,72.37
Biomedical engineer,Healthcare,Increasing,Low,89440.77,Bachelor’s Degree,17,1281,6290,39.58,83.86,Australia,55.28
"Surveyor, quantity",Transportation,Increasing,High,58397.74,Associate Degree,6,9983,7682,33.51,97.15,Germany,56.84
Data processing manager,Retail,Increasing,Moderate,143796.92,Bachelor’s Degree,14,1110,5400,45.76,72.45,Australia,59.87
Visual merchandiser,Healthcare,Decreasing,Moderate,58549.17,Associate Degree,10,5824,2582,93.79,71.07,Canada,69.07
"Programmer, applications",Healthcare,Increasing,High,120885.06,PhD,14,7346,8097,6.65,66.21,USA,34.29
Agricultural consultant,Manufacturing,Decreasing,Moderate,39114.9,Bachelor’s Degree,1,2878,1004,20.93,97.91,UK,48.91
"Surveyor, land/geomatics",Education,Increasing,High,131445.59,Bachelor’s Degree,18,6011,6199,54.42,82.14,India,69.85
Medical sales representative,IT,Increasing,Moderate,139571.48,Bachelor’s Degree,18,1709,5900,90.64,45.88,USA,65.73
"Surveyor, insurance",Entertainment,Increasing,Moderate,81973.9,High School,0,416,5322,95.09,66.6,USA,44.49
Trading standards officer,IT,Increasing,High,55916.1,High School,12,5368,3398,80.99,76.21,India,20.14
Risk analyst,Transportation,Decreasing,High,105100.13,Master’s Degree,1,8705,1964,66.66,41.63,USA,55.34
"Pharmacist, hospital",Healthcare,Increasing,Moderate,59179.04,High School,5,3271,3237,54.31,15.83,UK,74.45
Social researcher,Healthcare,Decreasing,Moderate,54707.46,Bachelor’s Degree,1,3767,1049,15.71,54.28,Brazil,57.69
"Editor, commissioning",Retail,Increasing,Low,112029.2,High School,18,6661,1466,23.83,78.21,USA,58.25
Insurance broker,Manufacturing,Decreasing,Low,62680.15,Master’s Degree,5,7199,8853,36.03,71.61,USA,44.49
Speech and language therapist,Transportation,Increasing,Moderate,122057.49,Bachelor’s Degree,10,8500,1192,40.57,85.65,UK,74.79
"Geologist, wellsite",Entertainment,Increasing,Low,72130.84,Associate Degree,6,2889,7343,23.73,10.93,Australia,22.03
Quantity surveyor,Entertainment,Increasing,Low,51794.44,Bachelor’s Degree,20,3223,693,21.67,72.1,India,77.93
Fitness centre manager,Finance,Decreasing,High,103735.69,High School,16,7717,6747,40.53,82.98,Canada,62.14
Public house manager,Finance,Increasing,Low,122828.29,Associate Degree,14,1841,4396,34.0,45.96,China,31.71
Fitness centre manager,Transportation,Increasing,Moderate,56892.14,High School,6,6982,446,59.19,22.03,Brazil,61.52
Legal secretary,Entertainment,Decreasing,Moderate,64936.07,Associate Degree,9,5327,6046,56.63,36.36,USA,38.37
Land,Manufacturing,Increasing,High,145556.35,PhD,12,6916,3043,16.32,56.18,China,61.03
"Geologist, engineering",Transportation,Increasing,Low,94475.47,High School,13,1984,5181,13.32,68.71,Canada,27.43
Community development worker,IT,Increasing,Moderate,67522.28,PhD,4,5500,7428,93.2,76.54,UK,69.44
Health and safety adviser,Entertainment,Decreasing,High,92828.1,Master’s Degree,1,3007,5674,50.86,49.72,USA,61.85
Production engineer,Education,Decreasing,High,91537.1,Bachelor’s Degree,4,1097,1739,96.47,80.98,China,54.87
Marketing executive,IT,Decreasing,Low,64213.58,Master’s Degree,10,3367,2943,91.41,67.33,UK,38.75
Telecommunications researcher,IT,Decreasing,Low,100644.59,Associate Degree,1,7936,5142,50.11,46.36,Australia,56.97
Medical illustrator,Manufacturing,Increasing,Moderate,38662.87,Master’s Degree,15,5714,5142,79.6,5.17,Germany,24.35
Town planner,Education,Decreasing,High,129609.84,Bachelor’s Degree,5,6274,646,49.52,9.13,India,26.24
Geographical information systems officer,Transportation,Decreasing,Moderate,89246.35,PhD,19,9012,7178,45.85,70.61,Australia,43.52
"Nurse, adult",Education,Decreasing,High,67342.45,High School,17,4308,3861,98.08,78.98,Australia,63.48
Advice worker,Retail,Decreasing,Moderate,86821.51,PhD,11,7325,6513,69.85,41.76,Brazil,72.0
Higher education lecturer,Manufacturing,Decreasing,High,137679.89,High School,8,1764,7728,69.0,30.14,UK,42.29
Landscape architect,Transportation,Increasing,Moderate,96880.31,Bachelor’s Degree,0,8560,4500,73.1,52.29,USA,77.61
"Engineer, biomedical",Manufacturing,Decreasing,Low,96973.48,Associate Degree,9,1261,3274,20.71,87.84,UK,47.18
Hydrogeologist,Transportation,Increasing,Low,106907.88,High School,8,1573,2520,48.33,12.88,Canada,36.03
Communications engineer,Transportation,Decreasing,Moderate,43887.3,Bachelor’s Degree,4,7861,1663,99.94,36.69,UK,30.49
Site engineer,Entertainment,Decreasing,High,80602.25,Bachelor’s Degree,15,6160,7810,3.84,97.14,UK,61.45
Dancer,Healthcare,Increasing,Low,104083.41,PhD,9,9237,8221,19.49,62.22,China,58.46
Counsellor,Manufacturing,Increasing,Low,51885.46,Bachelor’s Degree,19,1922,8375,26.87,47.32,India,52.13
Pension scheme manager,Manufacturing,Increasing,Low,65886.9,Associate Degree,18,8105,9373,54.09,60.91,India,36.11
Farm manager,Finance,Increasing,Moderate,126053.99,Master’s Degree,14,5201,7157,1.49,18.85,Brazil,53.7
Adult guidance worker,Healthcare,Increasing,Moderate,80783.68,PhD,3,1035,5944,7.67,54.59,USA,73.59
Financial planner,Finance,Increasing,Low,145838.19,Master’s Degree,8,3747,7955,34.11,70.19,UK,77.32
Conference centre manager,Finance,Increasing,High,113447.12,Associate Degree,0,6532,8385,13.15,93.83,China,45.8
Marketing executive,Education,Increasing,Low,115641.43,High School,16,2914,1696,65.25,0.22,Brazil,24.91
Contractor,Manufacturing,Increasing,Moderate,82312.21,Bachelor’s Degree,17,572,5821,18.88,7.58,Germany,66.41
Records manager,Finance,Decreasing,Low,54122.73,High School,2,3398,3488,29.99,89.47,Germany,41.79
Civil Service administrator,Manufacturing,Decreasing,Moderate,141032.76,High School,16,2593,946,63.34,24.27,UK,45.68
Hydrogeologist,Manufacturing,Increasing,Moderate,49943.37,Associate Degree,5,399,4373,1.3,89.88,USA,25.62
Historic buildings inspector/conservation officer,Finance,Decreasing,Low,57256.16,Associate Degree,17,7347,3185,33.11,24.26,Australia,37.67
Product designer,Manufacturing,Increasing,High,49013.55,Master’s Degree,3,9373,6861,54.82,16.41,Canada,73.68
"Horticulturist, commercial",Entertainment,Decreasing,Low,83146.88,Associate Degree,9,9576,5285,8.15,19.86,Brazil,76.42
Land/geomatics surveyor,Education,Decreasing,Low,88373.72,Associate Degree,16,2911,664,62.77,97.61,Brazil,54.11
Hydrologist,Education,Decreasing,Low,41085.79,High School,7,1739,3082,8.65,22.49,China,46.68
Audiological scientist,Manufacturing,Decreasing,High,37875.52,Bachelor’s Degree,0,505,9801,34.75,34.81,Australia,50.28
Housing manager/officer,IT,Increasing,Low,51251.33,Bachelor’s Degree,2,3323,4631,44.41,50.32,USA,56.0
Corporate investment banker,Entertainment,Increasing,Moderate,86936.76,Associate Degree,20,8608,4103,79.59,16.45,China,58.37
"Chemist, analytical",Healthcare,Decreasing,Low,86871.83,PhD,1,8683,8187,8.78,82.37,UK,57.76
Ergonomist,Healthcare,Decreasing,Low,41292.43,PhD,10,1325,8561,39.63,94.6,India,54.4
Recruitment consultant,IT,Decreasing,Moderate,34438.13,Associate Degree,1,5248,4013,8.77,75.41,China,74.41
"Psychologist, occupational",Finance,Increasing,High,83877.95,High School,13,6206,2175,94.57,14.35,UK,44.58
"Engineer, site",Transportation,Decreasing,High,145874.97,Associate Degree,7,4723,1000,93.19,94.68,Canada,20.28
"Civil engineer, consulting",Manufacturing,Decreasing,Low,65568.84,Bachelor’s Degree,20,1198,8349,4.7,75.14,India,34.98
Mudlogger,Healthcare,Increasing,High,33757.97,Bachelor’s Degree,7,7796,2625,41.48,13.75,Brazil,47.88
Site engineer,Transportation,Increasing,High,66464.94,PhD,8,5335,6298,9.06,98.19,USA,29.95
Theatre stage manager,IT,Decreasing,Low,49654.29,Bachelor’s Degree,0,4725,5958,77.67,46.64,India,58.4
Publishing rights manager,Transportation,Increasing,High,34886.32,Bachelor’s Degree,3,4801,6342,58.42,31.73,Germany,38.79
Mental health nurse,Transportation,Decreasing,High,46023.47,High School,11,8070,1217,43.21,25.48,Germany,79.43
Facilities manager,IT,Increasing,High,85650.02,Master’s Degree,1,9995,4148,15.97,56.88,Brazil,27.35
Aid worker,Manufacturing,Decreasing,Low,141440.47,PhD,17,8295,3834,62.93,81.02,Germany,78.89
"Accountant, chartered",Healthcare,Decreasing,Low,96540.52,Associate Degree,9,4527,6207,88.99,72.85,Brazil,74.93
"Psychotherapist, child",Finance,Decreasing,High,118114.81,High School,9,119,1937,64.28,28.62,India,38.81
Materials engineer,Manufacturing,Increasing,Low,43744.54,Associate Degree,0,4589,3768,29.2,79.82,USA,71.08
Administrator,Manufacturing,Increasing,Moderate,133551.57,Master’s Degree,14,3411,513,39.28,88.96,China,57.18
Air traffic controller,IT,Decreasing,High,37967.65,Bachelor’s Degree,3,2804,2151,74.56,31.89,China,63.65
Consulting civil engineer,Entertainment,Decreasing,Low,94443.08,PhD,2,422,6912,24.11,54.96,Germany,30.95
Financial adviser,Entertainment,Decreasing,Moderate,109688.94,Master’s Degree,9,7607,8504,17.03,75.86,Germany,70.46
"Designer, television/film set",Retail,Decreasing,Moderate,45317.59,PhD,15,9695,363,89.28,94.74,Brazil,69.04
Theatre stage manager,Finance,Increasing,Moderate,102601.33,High School,17,3366,1279,12.16,58.03,India,54.44
"Engineer, civil (contracting)",Healthcare,Decreasing,High,66511.62,Master’s Degree,9,3342,6000,55.14,79.8,Canada,27.73
"Designer, interior/spatial",IT,Increasing,Moderate,84893.88,Master’s Degree,6,118,1538,24.71,30.59,USA,53.93
"Designer, television/film set",IT,Decreasing,High,113286.59,Bachelor’s Degree,3,6057,8325,6.53,32.36,Canada,35.7
Estate agent,Manufacturing,Decreasing,Moderate,75559.92,Associate Degree,17,8747,6332,12.45,14.88,Canada,61.4
Civil Service fast streamer,IT,Increasing,Low,39613.3,Associate Degree,9,147,5434,83.63,72.45,USA,43.98
Osteopath,Manufacturing,Decreasing,Moderate,90755.23,High School,16,7298,1145,48.16,88.9,Germany,61.2
"Surveyor, planning and development",Finance,Decreasing,Moderate,148998.13,High School,10,6074,2028,11.75,52.77,Australia,53.01
"Engineer, production",Transportation,Decreasing,High,148118.06,PhD,2,7627,3615,22.7,25.22,UK,39.14
Psychotherapist,Healthcare,Decreasing,Low,56348.52,Master’s Degree,3,9766,8745,8.66,89.42,Canada,61.63
"Geneticist, molecular",Transportation,Decreasing,Low,108832.38,Master’s Degree,20,4820,310,82.18,95.53,Australia,49.85
Further education lecturer,Retail,Increasing,Low,32577.33,Associate Degree,13,7148,3272,0.38,48.9,Australia,55.44
Special educational needs teacher,Retail,Decreasing,High,145857.32,PhD,3,1765,6849,34.8,82.73,China,64.82
Sales promotion account executive,Transportation,Decreasing,Low,149980.6,Associate Degree,8,9171,8947,59.23,78.27,Germany,31.87
Surgeon,IT,Decreasing,Moderate,83718.89,Associate Degree,5,7101,2451,83.17,78.6,Canada,35.69
Public affairs consultant,Education,Decreasing,High,121292.07,Master’s Degree,8,7098,5668,46.67,97.18,Canada,28.47
Photographer,Manufacturing,Increasing,High,134073.79,Associate Degree,11,4389,6423,18.72,32.28,Germany,24.64
Quantity surveyor,IT,Decreasing,High,102244.0,Master’s Degree,14,5553,1258,69.33,97.47,Australia,70.11
Police officer,Education,Decreasing,Moderate,61117.93,Associate Degree,16,8547,1172,13.18,30.55,China,50.07
"Administrator, arts",Transportation,Increasing,Moderate,80382.78,Master’s Degree,10,8906,9375,84.35,75.84,China,33.96
Waste management officer,Transportation,Increasing,Moderate,119177.67,High School,10,673,3154,89.05,80.71,Germany,31.73
Insurance claims handler,Education,Decreasing,Moderate,76156.63,Associate Degree,14,3668,523,7.49,89.03,India,29.71
Media planner,Education,Increasing,Low,101472.52,PhD,5,2894,584,18.22,64.46,China,55.99
Solicitor,Manufacturing,Decreasing,Moderate,51396.55,High School,0,7314,2192,64.61,10.56,Brazil,78.62
Scientific laboratory technician,IT,Decreasing,Low,127522.25,High School,8,5634,4282,73.54,59.66,Australia,68.09
Bookseller,Education,Decreasing,High,116179.77,High School,19,5924,5904,87.09,50.25,USA,21.63
Research scientist (physical sciences),IT,Increasing,Low,67739.89,Bachelor’s Degree,4,9171,8760,51.27,24.01,Brazil,42.22
Research scientist (medical),Retail,Decreasing,High,61432.39,Bachelor’s Degree,11,1017,5551,40.27,70.86,China,47.6
Optometrist,Transportation,Decreasing,Low,86169.11,Associate Degree,2,8928,9980,20.58,36.35,Canada,27.78
Actuary,Manufacturing,Decreasing,Moderate,64287.99,Bachelor’s Degree,11,1097,1584,45.89,83.42,Australia,57.54
Commercial art gallery manager,Education,Decreasing,Moderate,108036.98,PhD,20,158,6312,41.28,36.0,USA,65.4
"Engineer, communications",Manufacturing,Increasing,High,94926.57,PhD,9,761,2456,2.21,49.45,UK,28.69
"Engineer, electronics",Finance,Decreasing,High,74551.51,PhD,2,2433,1820,58.14,55.88,India,70.24
Sports development officer,Healthcare,Increasing,Low,63733.94,Bachelor’s Degree,4,7257,2808,65.7,34.34,India,46.64
Scientific laboratory technician,Transportation,Decreasing,Moderate,102281.85,Associate Degree,2,3882,4224,50.38,17.4,Australia,70.4
"Psychotherapist, child",Finance,Decreasing,Low,41958.82,PhD,10,4608,749,51.46,73.99,Australia,47.26
"Psychologist, clinical",Healthcare,Decreasing,Low,70493.06,Bachelor’s Degree,4,4762,3846,77.84,60.31,India,69.65
Commercial horticulturist,IT,Increasing,Moderate,95240.03,Bachelor’s Degree,2,3378,6443,7.47,47.13,Canada,24.61
"Therapist, speech and language",Transportation,Decreasing,Moderate,72828.68,PhD,8,9890,8352,47.22,0.55,India,67.55
Accounting technician,Transportation,Decreasing,High,69960.37,Associate Degree,1,9785,9378,2.86,31.5,Germany,66.23
"Accountant, chartered management",Entertainment,Increasing,Low,50630.69,Master’s Degree,2,978,7327,5.13,43.16,Canada,37.9
"Administrator, Civil Service",Education,Increasing,Low,71900.06,Associate Degree,12,784,6738,4.82,69.3,Canada,25.94
"Accountant, chartered public finance",Manufacturing,Increasing,Moderate,40930.74,PhD,3,8859,882,8.59,63.91,USA,48.11
Television camera operator,Finance,Increasing,Moderate,66638.67,Master’s Degree,9,1795,7187,8.9,27.22,India,34.55
Geoscientist,Transportation,Decreasing,Low,60286.24,Bachelor’s Degree,8,268,8038,72.13,27.5,Germany,54.69
"Therapist, music",Transportation,Increasing,Low,139315.38,Master’s Degree,5,8617,6247,6.25,55.83,China,29.66
Market researcher,Healthcare,Decreasing,High,92592.68,Master’s Degree,19,2311,7853,61.06,95.79,China,72.98
Management consultant,Retail,Decreasing,Low,101372.77,Bachelor’s Degree,17,5019,6908,17.4,85.73,Canada,68.24
"Psychotherapist, child",Entertainment,Decreasing,High,55267.84,PhD,16,1455,4339,69.87,74.39,UK,54.16
Media planner,Healthcare,Increasing,Low,31717.49,PhD,12,3336,2199,90.53,17.15,Brazil,75.2
"Clinical scientist, histocompatibility and immunogenetics",Retail,Decreasing,Moderate,126575.05,Master’s Degree,2,1343,7028,98.7,15.53,Australia,46.42
Prison officer,Healthcare,Decreasing,Moderate,118167.27,High School,0,3888,5741,48.13,65.2,UK,54.1
Manufacturing engineer,Education,Increasing,Low,116855.32,Associate Degree,18,3733,8727,78.17,15.89,Canada,27.95
Dramatherapist,Finance,Increasing,High,92668.35,High School,13,5623,4433,44.36,7.38,Australia,31.56
"Designer, textile",Manufacturing,Increasing,Moderate,109255.24,High School,4,4579,4344,9.74,9.08,UK,59.58
Market researcher,IT,Decreasing,Moderate,31982.74,Bachelor’s Degree,6,209,8306,97.0,87.45,Canada,25.9
Cabin crew,Retail,Decreasing,High,86509.69,High School,2,9692,3630,44.35,99.67,USA,27.83
Environmental health practitioner,Education,Decreasing,Low,78014.83,Master’s Degree,7,3504,2768,18.16,74.39,India,64.0
Clinical cytogeneticist,Education,Increasing,Moderate,108680.29,Associate Degree,15,6097,1335,17.22,56.84,Germany,38.51
Barista,Finance,Increasing,High,61661.7,PhD,20,6675,9829,61.8,16.15,Australia,47.2
Outdoor activities/education manager,Transportation,Decreasing,Low,126795.85,PhD,16,8446,817,68.7,7.86,Canada,54.74
Orthoptist,Manufacturing,Increasing,Moderate,63344.38,Bachelor’s Degree,19,2231,7204,88.98,68.01,Canada,67.44
Medical secretary,Transportation,Increasing,High,39870.52,PhD,15,824,4246,60.88,68.47,UK,56.58
Travel agency manager,Education,Increasing,High,135763.9,Master’s Degree,6,3496,3847,76.78,36.17,Canada,50.8
Commercial horticulturist,Manufacturing,Decreasing,Moderate,66168.78,Associate Degree,8,6059,3363,0.43,15.31,Brazil,31.09
"Designer, textile",Finance,Decreasing,High,146199.24,High School,10,2526,1092,55.3,75.39,USA,51.67
"Therapist, speech and language",Healthcare,Increasing,High,69969.4,PhD,3,6158,9884,43.03,44.72,Germany,43.66
Public house manager,Entertainment,Decreasing,Moderate,60312.73,High School,15,8665,5092,42.68,79.27,UK,31.28
Building services engineer,Retail,Decreasing,Moderate,71397.4,Master’s Degree,20,3798,9415,18.12,77.51,UK,63.1
"Surveyor, land/geomatics",Transportation,Increasing,High,121523.96,PhD,17,4867,5364,99.84,93.14,India,56.46
Applications developer,Transportation,Decreasing,High,145423.47,Bachelor’s Degree,16,6351,3982,1.81,80.19,Brazil,54.87
"Pilot, airline",Manufacturing,Increasing,Moderate,54336.88,PhD,8,5331,1406,77.76,13.72,USA,21.83
Psychiatric nurse,Transportation,Decreasing,Low,51931.95,Bachelor’s Degree,13,8398,7418,48.29,2.06,Australia,63.77
