"Title","Link","Metascore","ReleaseDate","Description","Developer","Publisher","Platforms","Genre"
"Marvel's Spider-Man 2","https://www.metacritic.com/game/marvels-spider-man-2/","90",2023-10-20,"Spider-Men, Peter Parker and Miles Morales, return for an exciting new adventure in Marvel’s Spider-Man franchise for PS5. Swing, jump and utilize the new Web Wings to travel across Marvel’s New York, quickly switching between Peter Parker and Miles Morales to experience different stories and epic new powers, as the iconic villain Venom threatens to destroy their lives, their city and the ones they love. The incredible power of the symbiote forces Peter and Miles to face the ultimate test of strength, both inside and outside the mask, as they balance their lives, friendships and their duty to protect those in need. Quickly swap between both Spider-Men as you explore an expanded Marvel’s New York. Fight against a variety of new and iconic villains, including an original take on the monstrous Venom, the ruthless Kraven the Hunter, the volatile Lizard and many more. Explore a larger Marvel’s New York than ever before, featuring two new boroughs – Brooklyn and Queens – as well as locations like Coney Island and more.","Insomniac Games","Sony Interactive Entertainment","PlayStation 5, PC","Open-World Action"
"The Legend of Zelda: The Wind Waker HD","https://www.metacritic.com/game/the-legend-of-zelda-the-wind-waker-hd/","90",2013-09-20,"As the purported definitive version of the game, The Legend of Zelda: The Wind Waker HD is remastered and presented in 1080p graphics. Gamers can experience high-definition cell-shaded presentation on their TVs or entirely on the Wii U GamePad controller. The streamlined interface lets gamers easily manage your inventory—simply slide an item onto any button. Instantly view maps and zoom in on the GamePad controller's touch screen. Enjoy a breezy cruise with the original sail, or switch to the brand-new Swift Sail that lets you gather the wind and speed across the waves. With the new Tingle Bottle feature, you can connect with others over Miiverse. Comments or screenshots others have posted on Miiverse may wash up on the shore or appear in other locations, tucked into bottles. Whenever you want, move around the world in first-person mode, using the GamePad gyroscope to look around you and aim your bow, hookshot, Picto Box, or telescope. You can store more pictographs with your improved Picto Box—handy for creating figurines—and share them with other players on Miiverse. Your pictures, game tips, and messages may also appear in another player's game. Take the adventure to new levels with Hero Mode, available from the moment you start the game. In this mode, you only regain health when you earn a new heart piece or container, use a red potion, or visit a fairy fountain. Also, your enemies do double the damage. [Nintendo]","HexaDrive","Nintendo","Wii U","Open-World Action"
"Portal","https://www.metacritic.com/game/portal/","90",2007-10-10,"Portal is a new single player game from Valve. Set in the mysterious Aperture Science Laboratories, Portal has been called one of the most innovative new games on the horizon and offers gamers hours of unique gameplay. The game is designed to change the way players approach, manipulate, and surmise the possibilities in a given environment; similar to how Half-Life 2's Gravity Gun innovated new ways to leverage an object in any given situation. Players must solve physical puzzles and challenges by opening portals to maneuvering objects, and themselves, through space. [Valve]","Valve Software","Valve Software","PC","FPS"
"The Legend of Zelda: Phantom Hourglass","https://www.metacritic.com/game/the-legend-of-zelda-phantom-hourglass/","90",2007-10-01,"[Metacritic's 2007 DS Game of the Year]  Many months have passed since the events of The Legend of Zelda: The Wind Waker, and Link, Tetra and Tetra’s band of pirates have set sail in search of new lands. They come across a patch of ocean covered in a dense fog, in which they discover an abandoned ship. Tetra falls into danger when she explores the ship alone, and Link falls into the ocean when he attempts to rescue her. When he washes up unconscious on the shores of a mysterious island, he is awakened by the sound of a fairy’s voice. With the aid of this fairy, he sets off to find Tetra – and his way back to the seas he once knew. The stylus makes controlling Link easier than ever. Tap on the screen to make Link move, or sweep the stylus around him to swing the sword. Players can even draw a path for his boomerang and send it flying into hard-to-reach targets. Players can stash the map on the top screen for quick reference or drop it to the touch screen to make notes, study enemies, or chart a path for their boat to follow while they man the cannons. Compete with a friend over a local wireless connection: Guide Link through special dungeons to capture the Triforce or command the forces that oppose him. [Nintendo]","Nintendo","Nintendo","DS","Open-World Action"
"NHL 2001","https://www.metacritic.com/game/nhl-2001/","90",2000-09-28,"High-flyin', hard hittin', intense powerplay hockey is back with EA Sports' NHL 2001, bringing gamers out of the stands and onto the ice. Lace up the skates and play with or against all 30 National Hockey League teams, including the expansion Columbus Blue Jackets and Minnesota Wild.  [Electronic Arts]","EA Sports","EA Sports","PlayStation, PC, PlayStation 2","Hockey Sim"
"Jack Jeanne","https://www.metacritic.com/game/jack-jeanne/","90",2023-06-15,"The game's story centers around protagonist Kisa Tachibana, a girl who had given up on a career in theater, but receives an invitation to attend the Univeil Drama School, an elite drama school for male actors, where students play female roles (referred to as ""Jeanne"" roles) in addition to male roles (""Jack"" roles). 

However, to maintain her enrollment, she must land a starring role in the school's play at the end of the year and also hide that she is a girl.","Broccoli","Aksys Games","Nintendo Switch, iOS (iPhone/iPad)","Visual Novel"
"Dance Dance Revolution","https://www.metacritic.com/game/dance-dance-revolution/","90",2001-05-09,"Dance Dance Revolution is a great introduction to a truly unique series with incredibly addictive gameplay and a soundtrack that will have you humming for days.","Konami","Konami","PlayStation, PC","Dancing"
"Advance Wars: Dual Strike","https://www.metacritic.com/game/advance-wars-dual-strike/","90",2005-08-22,"Players lead their new Commanding Officers to fend off the Black Hole Army’s latest invasion. With massive battles that sweep across both of the DS screens, Advance Wars: Dual Strike will change the face of war forever. Use the top screen for quick-reference battle intel, or take control in battles that rage across both screens. Command a fleet of fighters high in the skies while troops clash with the enemy on the ground far below. New COs, new Tag-Team battles: Choose from new Commanding Officers, and combine their powers for incredible attacks that can turn the tide of battles. Real-time Combat mode: For a battle with a twist, players lead soldiers into a fast-paced, action-oriented battle against a storm of enemies. Easy-to-use map editor: Just grab a stylus and draw maps right on the touch screen, then send the maps to friends wirelessly. [Nintendo]","Intelligent Systems","Nintendo","DS","Turn-Based Tactics"
"MLB 11: The Show","https://www.metacritic.com/game/mlb-11-the-show/","90",2011-03-08,"The #1 selling, highest rated baseball franchise is back in MLB&reg; The Show '11. Experience new ways to play The Show with the NEW PURE Analog controls. Team up in ALL NEW CO-OP play, get called up to the Big Leagues with new and improved Road to the Show features and compete for real world prizes in MLB&reg; The Show's ALL NEW Challenge of the Week.","SCEA San Diego Studios","SCEA","PlayStation 3, PSP, PlayStation 2","Baseball Sim"
"NieR: Automata - Become as Gods Edition","https://www.metacritic.com/game/nier-automata-become-as-gods-edition/","90",2018-06-26,"NieR: Automata is an action RPG set in a post-apocalyptic world overrun by machine lifeforms and abandoned by mankind. As part of an android army created by humans to reclaim the planet, players will fight their way through the mechanical horde using a collective of close-combat weapons and ranged attacks.","PlatinumGames","Square Enix","Xbox One, PC","Action RPG"
"Jak and Daxter: The Precursor Legacy","https://www.metacritic.com/game/jak-and-daxter-the-precursor-legacy/","90",2001-12-04,"Jak and Daxter are quite a comic duo! Jak's the strong, silent type of hero, while Daxter's the obnoxious comic nut! The adventure takes place across a massive piece of continuous coastline - you can explore freely, with no loading screens and no waiting time.  All characters and environmental elements exist in real time and have incredibly smart A.I.; you can't ignore or hide from enemies, they will follow you everywhere. (""Which is supposed to be a good thing?"") [Sony]","Naughty Dog","SCEA","PlayStation 2, PlayStation 4, PlayStation 5","3D Platformer"
"Star Wars Rogue Leader: Rogue Squadron II","https://www.metacritic.com/game/star-wars-rogue-leader-rogue-squadron-ii/","90",2001-11-18,"Think you've got what it takes to lead the elite Rogue Squadron? Now's your chance to jump into the cockpit of an X-wing and find out. Join Luke Skywalker and the Star Wars galaxy's most daring pilots as they return to face off against the Empire. As in the original hit game for N64, you'll relive favorite Star Wars battles including the perilous Death Star trench run, a daring space attack on a Star Destroyer, and the legendary battle on the ice planet Hoth. Aerial conflict takes place in a variety of craft such as the legendary X-wing, A-wing, and B-wing. Rogue Leader immerses players in an intense action arcade experience.","Factor 5","LucasArts","GameCube","Space Combat Sim"
"Tsukihime: A Piece of Blue Glass Moon","https://www.metacritic.com/game/tsukihime-a-piece-of-blue-glass-moon/","90",2024-06-27,"TSUKIHIME -A piece of blue glass moon- collects the two tales that make up the ""Near Side of the Moon"" portion of the original Tsukihime: Arcueid's scenario, ""Moon Princess,"" and Ciel's scenario, ""Midnight Rainbow."" Creator Kinoko Nasu has painstakingly disassembled and rebuilt the story, updating the setting to 2010s Tokyo and expanding the narrative. This reimagined presentation will exhilarate players with its hard-hitting tension and realism. Featuring beautifully evolved visuals, animations, and music, TSUKIHIME -A piece of blue glass moon- presents a fresh take on TYPE-MOON's genre-defining classic.","Type-Moon","Aniplex Inc.","Nintendo Switch, PlayStation 4","Visual Novel"
"NCAA Football 2002","https://www.metacritic.com/game/ncaa-football-2002/","90",2001-07-23,"Gamers can select from any of 117 Division 1-A or 27 Division 1-AA teams. Play-by-play and color commentary are provided by ESPN's Brad Nessler, Lee Corso and Kirk Herbstreit.  Brand-new team-specific playbooks emulate actual college plays run by 117 Division 1-A teams.  [EA Sports]","EA Sports","EA Sports","PlayStation 2","Football Sim"
"Deus Ex","https://www.metacritic.com/game/deus-ex/","90",2000-06-23,"The game that incorporates RPG, action, adventure, and 1st-person shooter genres into a chaotic blend of real-world conspiracies, cliffhangers, and plot twists. A richly simulated world of unparalleled interactivity, engineered to react logically to your every action. The decisions and consequences are yours. [Eidos Interactive]","Ion Storm","Eidos Interactive","PC, Dreamcast, PlayStation 2","Action Adventure"
"Stephen's Sausage Roll","https://www.metacritic.com/game/stephens-sausage-roll/","90",2016-04-18,"The focus of Stephen's Sausage Roll involves nudging sausages around to fully cook them.","increpare","increpare","PC","Action Puzzle"
"Donkey Kong 64","https://www.metacritic.com/game/donkey-kong-64/","90",1999-11-24,"K. Rool has kidnapped the Kongs! Can Donkey Kong rescue his friends, reclaim the Golden Bananas and save his homeland from certain doom? Take out some Kremlings with Chunky's Pineapple Launcher or Lanky's Trombone. Float through the air using Tiny's Ponytail Twirl. Even rocket to the sky with Diddy's Jetbarrel!","Rare Ltd.","Nintendo","Nintendo 64","3D Platformer"
"Panzer Dragoon Orta","https://www.metacritic.com/game/panzer-dragoon-orta/","90",2003-01-12,"The dragon rises to power once again in Panzer Dragoon: Orta. Dragons, creatures that once ruled the skies, are now mankind's only hope against a dark empire. With humanity at war and on the brink of extinction, it's up to you and your dragon to take to the skies and assist in the rebellion. On the back of your flying friend, you'll become part of intense chases and battles with powerful enemies. In order to defeat the evil empire, you must master multiple weapons, dragon powers, and advanced attacks.","Smilebit","Sega","Xbox","Rail Shooter"
"Portal: Still Alive","https://www.metacritic.com/game/portal-still-alive/","90",2008-10-22,"[Xbox Live Arcade]  Portal: Still Alive features the full award-winning Portal single player game from Valve, plus a new challenge mode. Designed to change the way you approach, manipulate, and surmise the possibilities in any given environment, Portal has earned over 70 industry honors for its innovative gameplay, with more than 30 ""Game of the Year"" awards. Break the laws of physics using ""portal"" technology to solve puzzles and survive in this darkly comic story weaving adventure with brain-bending puzzles. Experience the first first-person puzzle-action-adventure game with hours of single player gaming. The game includes fourteen brand new bonus puzzles to challenge even the most skilled test subjects. And, get a glimpse into the making of Portal: Still Alive with commentary from the developers. [Valve]","Valve Software","Microsoft Game Studios","Xbox 360","FPS"
"Half-Life 2: Episode Two","https://www.metacritic.com/game/half-life-2-episode-two/","90",2007-10-10,"Half-Life 2: Episode Two is the second in a trilogy of new games created by Valve that extends the award-winning and best-selling Half-Life adventure. As Dr. Gordon Freeman, you were last seen exiting City 17 with Alyx Vance as the Citadel erupted amidst a storm of unknown proportions. In Episode Two, you must battle and race against Combine forces as you traverse the White Forest to deliver a crucial information packet stolen from the Citadel to an enclave of fellow resistance scientists. Episode Two extends the award-winning Half-Life gameplay with unique weapons, vehicles, and newly-spawned creatures. [Valve]","Valve Software","Valve Software","PC","FPS"
"Shin Megami Tensei: Persona 4","https://www.metacritic.com/game/shin-megami-tensei-persona-4/","90",2008-12-09,"[Metacritic's 2008 PS2 Game of the Year]  Shortly after an urban youth begins a year-long stay in the countryside town of Inaba, the rural town's peace is shattered by a horrific murder that leaves no clues or suspects. As the lone incident develops into a series of bizarre crimes, he discovers that only he and his friends have the power to solve the baffling case, bring those responsible to justice, and restore harmony to his new home. Balance your double life – Beyond intense battles, Persona fusion, and new weapon creation exists a normal high school life of friends, classes, and part-time jobs. The way you manage and integrate your activities within each day will determine how you progress through the game. Unprecedented team control – With a greater emphasis on developing bonds in the fight to solve the mysterious murders, strong friendships are key to your success. Directly control teammates in battle, earn greater party support for combat, and master individual Social Links to unlock your party's true potential. Find the true ending – 60+ hours of gameplay thrusts you into a deep mystery where midnight television leads to serial killings. You must investigate murders, rescue those who can be rescued, and unmask the culprit behind it all—or risk being forever shrouded in the fog of doubt. [Atlus USA]","Atlus","Atlus","PlayStation 2","JRPG"
"Hollow Knight","https://www.metacritic.com/game/hollow-knight/","90",2018-06-12,"Hollow Knight is a 2D action-adventure game with an emphasis on traditional 2D animation and skillful gameplay. Journey to Hallownest, a vast and ancient underground kingdom inhabited by a bizarre collection of insects and monsters. Players will forge their own path as they explore ruined cities, forests of fungus, temples of bone and other fantastic lands, all on their way to uncovering an ancient mystery.","Team Cherry","Team Cherry","PC, Wii U, Nintendo Switch, PlayStation 4, Xbox One","Metroidvania"
"MLB 09: The Show","https://www.metacritic.com/game/mlb-09-the-show/","90",2009-03-03,"Road to the Show 3.0. Now includes interactive training, new settings, a new steal/ lead-off system, presentations and coach interactions. Interactive training will consist of a set of mini-games designed to improve a player’s ability and performance in various areas of baseball. Franchise Mode 2.0. Improvements include the long awaited 40-man roster! The latest Franchise Mode improvements will also offer Salary Arbitration, Waiver Transactions and September call-ups. Training/Practice Drills. In MLB 09 users will have the ability to choose from a number of different Training/Practice drills. The drills will be of various concentrations of the game. These drills are a perfect way to polish and improve your baseball skills in The Show. Details & Subtleties. Details and subtleties play a huge role in legitimizing a game and helping you lose yourself in the suspension of disbelief. MLB 09 The Show sinks it's teeth into the details with realistic stadiums and signage, wear and tear on field, dusk to night lighting transitions, stadium Jumbotron animations and even crowd atmosphere - reaching up for foul balls out of play and home runs in addition to crowd rivalries and weather appropriate clothing. [SCEA]","SCEA San Diego Studios","SCEA","PSP, PlayStation 3, PlayStation 2","Baseball Sim"
"Blast Corps","https://www.metacritic.com/game/blast-corps/","90",1997-02-28,"A pair of defective nuclear missiles, en route to a safe detonation site, has begun to leak. Badly damaged, the carrier automatically locks onto the most direct route. Clear a path to help the carrier arrive safely. Tons of vehicles are at your disposal. Leave nothing standing or the adventure will end in an earth-shattering explosion! Find the hidden technicians to ensure a safe detonation. Strap on your seat belt, it's going to be a bumpy ride.","Rare Ltd.","Nintendo","Nintendo 64","Action"
"Ori and the Will of the Wisps","https://www.metacritic.com/game/ori-and-the-will-of-the-wisps/","90",2020-03-11,"The little spirit Ori is no stranger to peril, but when a fateful flight puts the owlet Ku in harm’s way, it will take more than bravery to bring a family back together, heal a broken land, and discover Ori’s true destiny. From the creators of the acclaimed action-platformer Ori and the Blind Forest comes the highly anticipated sequel. Embark on an all-new adventure in a vast world filled with new friends and foes that come to life in stunning, hand-painted artwork. Set to a fully orchestrated original score, Ori and the Will of the Wisps continues the Moon Studios tradition of tightly crafted platforming action and deeply emotional storytelling.","Moon Studios","Microsoft Game Studios","Xbox One, PC, Xbox Series X, Nintendo Switch","Metroidvania"
"VIDEOVERSE","https://www.metacritic.com/game/videoverse/","90",2023-08-07,"Relive the days of past social gaming networks in VIDEOVERSE, a decision-based narrative adventure focusing on character development, friendship and love, from the developer behind One Night Stand.

As Emmett, a young video game fan and aspiring artist, dive into this fictional video game era, where the Kinmoku Shark gaming system and its online social network, Videoverse, were still popular. Strengthen Emmett's friendships, share fan art and browse the lively gaming communities. Make decisions that will change how Emmett grows, his approach to Videoverse and, ultimately, the final outcome!

Will your actions help Videoverse thrive, or will you get caught up in teenage drama, video game fandoms and corporate conspiracies?","Kinmoku","Kinmoku","PC","Adventure"
"Sid Meier's Civilization III","https://www.metacritic.com/game/sid-meiers-civilization-iii/","90",2001-10-30,"In Civilization III, you'll find new pathways to explore and strategies to employ, greatly expanded diplomacy, more powerful combat, a new trade system, new technologies, more powerful tools to build and manage your empire, and the most detailed and beautiful art, animations and sound ever found in the genre. [Infogrames]","Firaxis Games","Infogrames","PC","4X Strategy"
"WWF SmackDown! 2: Know Your Role","https://www.metacritic.com/game/wwf-smackdown-2-know-your-role/","90",2000-11-20,"Prepare for the most outrageous WF experience ever created. Brawl in the ring, backstage, in the VIP room, the parking lot of the new WF New York. Let your fury rage in the new Tornado Tag Team mode. If that's not hardcore enough, pull out the tables, ladders or chairs and really get nasty.","Yuke's","THQ","PlayStation","Wrestling"
"MVP Baseball 2004","https://www.metacritic.com/game/mvp-baseball-2004/","90",2004-03-09,"Step up to the plate with MVP Baseball 2004. The fundamentals of hitting, pitching, fielding, and base running have been reproduced like never before to give you complete control over every aspect of the game. From swinging for the fences or protecting the plate when you have a two-strike count, the all-new batting model provides unprecedented command of each type of swing in every situation. With great gameplay and many additional features such as Pitching Challenge and Dynasty Mode, MVP Baseball 2004 wins the pennant as the most innovative and realistic baseball experience ever created. Groundbreaking Hitting Control: From hitting to the opposite field to pulling the ball down the line to swinging for the fences, every swing type is included. You Control the Field: Leap over the wall and rob home runs, hook slide to avoid tags, and take out the catcher at home with all-new player control. Pick Your Park: With all-new crowd chants, the addition of classic stadiums, and new lighting to signify various start times for your biggest games, MVP Baseball 2004 puts you in the best seat in the house. Your Dynasty Begins Now: Take full control of your franchise on all the levels -- from the minors to the pros. Play, sim, or manage each game all the way to the World Series. Swing for the Fences Online: Go yard against players across the country in one-on-one or Tournament games, while talking up your game with EA SPORTS? Talk [Electronic Arts]","EA Sports","EA Sports","PlayStation 2, PC, GameCube, Xbox","Baseball Sim"
"The Last of Us Part II Remastered","https://www.metacritic.com/game/the-last-of-us-part-ii-remastered/","90",2024-01-19,"Play the winner of over 300 Game of the Year awards, now remastered for the PlayStation5 console. 

Experience for the first time or relive Ellie and Abby's story with graphical enhancements, new gameplay modes like the roguelike survival experience No Return, full DualSense wireless controller integration, and more.","Naughty Dog","Sony Interactive Entertainment","PlayStation 5, PC","Survival"
"LIMBO","https://www.metacritic.com/game/limbo/","90",2010-07-21,"[Xbox Live Arcade]  Uncertain of his sister's fate, a boy enters LIMBO.","PLAYDEAD","PLAYDEAD","Xbox 360, PlayStation 3, PC, PlayStation Vita, Xbox One, PlayStation 4, Nintendo Switch, iOS (iPhone/iPad)","2D Platformer"
"Silent Hunter III","https://www.metacritic.com/game/silent-hunter-iii/","90",2005-03-15,"Command the cunning and deadly U-boats of the North Atlantic and experience the tension-filled atmosphere of a WWII submarine movie. The king of submarine simulations returns with an all-new 3D game engine, new crew-command features, and more realistic action than ever before. The game includes a career campaign, patrols that have both single and historical missions, a mission editor, and a multiplayer feature. Whether it’s stalking destroyers or hiding from depth charges, players will experience their own personal war story. The spectacular graphics, multiplayer options, and suspenseful gameplay combine to create the most impressive submarine simulation ever. [Ubisoft]","Ubisoft","Ubisoft","PC","Marine Combat Sim"
"Mark of the Ninja","https://www.metacritic.com/game/mark-of-the-ninja/","90",2012-09-07,"Mark of the Ninja is a side-scrolling stealth action game from Klei Entertainment that combines fluid 2D animation with intense stealth gameplay.","Klei Entertainment","Microsoft Game Studios","Xbox 360, PC","2D Platformer"
"Chained Echoes","https://www.metacritic.com/game/chained-echoes/","90",2022-12-08,"Take up your sword, channel your magic or board your Mech. Chained Echoes is a 16-bit SNES style RPG set in a fantasy world where dragons are as common as piloted mechanical suits. Follow a group of heroes as they explore a land filled to the brim with charming characters, fantastic landscapes and vicious foes.

Can you bring peace to a continent where war has been waged for generations and betrayal lurks around every corner?

Chained Echoes is a story-driven game where a group of heroes travel around the vast continent of Valandis to bring an end to the war between its three kingdoms. In the course of their journey, they will travel through a wide array of diverse landscapes spanning from wind-tanned plateaus and exotic archipelagos to sunken cities and forgotten dungeons.","Matthias Linda","DECK13 Spotlight","PC, PlayStation 4, Nintendo Switch, PlayStation 5, Xbox Series X, Xbox One","JRPG"
"Super Meat Boy","https://www.metacritic.com/game/super-meat-boy/","90",2010-10-20,"Super Meat Boy is a tough as nails platformer where you play as an animated cube of meat who's trying to save his girlfriend (who happens to be made of bandages) from an evil fetus in a jar wearing a tux.","Team Meat","Team Meat","Wii, Xbox 360, PC, PlayStation 4, PlayStation Vita, Wii U, Nintendo Switch","2D Platformer"
"Dead Space 2","https://www.metacritic.com/game/dead-space-2/","90",2011-01-25,"Hero Isaac Clarke returns for another heart-pounding adventure, taking the fight to the Necromorphs in this thrilling action-horror experience. New tools to gruesomely slice and dismember the Necromorphs complement Isaac's signature Plasma Cutter, empowering him as he meets new characters, explores epic Zero-G environments, and fights against a relentless necromorph onslaught.  Survival isn't the only thing on Isaac's mind in Dead Space 2  – this time, he calls the shots. [Electronic Arts]","Visceral Games","Electronic Arts","PlayStation 3, Xbox 360, PC","Third Person Shooter"
"Pikmin 2","https://www.metacritic.com/game/pikmin-2/","90",2004-08-30,"Captain Olimar has returned to the planet where the Pikmin live, and he's all business this time.  The company he works for is going bankrupt, so to save it, Olimar must salvage the treasure buried all over the planet.  Of course, he'll need the help of the Pikmin to do that--he can't do anything by himself.  Control one of two main characters--Olimar or his assistant--as you command your Pikmin to defeat enemies, propagate more Pikmin, collect precious doodads, and solve puzzles.  With unlimited time, new colors of Pikmin, and two-player cooperative play, Pikmin 2 improves on the original in many ways.","Nintendo","Nintendo","Wii, GameCube, Nintendo Switch","Real-Time Strategy"
"DAVE THE DIVER","https://www.metacritic.com/game/dave-the-diver/","90",2023-06-28,"Welcome to 'DAVE THE DIVER', a marine adventure set in the mysterious Blue Hole. Explore the sea with Dave by day, and run a sushi restaurant at night. Uncover the secrets of the Blue Hole, and unwrap this deep sea mystery involving 3 friends, each with distinct personalities. New adventures await.","MINT ROCKET","MINT ROCKET","PC, Nintendo Switch, PlayStation 5, PlayStation 4","Action Adventure"
"Okami HD","https://www.metacritic.com/game/okami-hd/","90",2012-10-30,"In Okami, the legendary monster Orochi has come back to life and turned the world into a veritable wasteland. Players must assume the role of a wolf, an embodiment of the sun god Amaterasu, which is capable of wielding unimaginable power. The state of the world lies in gamer's hands as they must fight ominous beings and reclaim the earth from a curse that plagues it. It is crucial to help Amaterasu make the world a place where all living creatures can dwell once again. [Capcom]","HexaDrive","Capcom","PlayStation 3, Xbox One, PlayStation 4, PC, Nintendo Switch","Action Adventure"
"Geometry Wars: Retro Evolved 2","https://www.metacritic.com/game/geometry-wars-retro-evolved-2/","90",2008-07-30,"[Xbox Live Arcade]  Experience the adrenaline rush from playing the latest version of the frenetic retro shooter Geometry Wars: Retro Evolved 2. New features include six action-packed gameplay modes, new enemies, new scoring strategies, and a diverse list of exciting achievements. If that's not crazy enough for you, try multiplayer mayhem for up to four players. Use power-ups in versus mode to boost your stats or handicap your opponent, or team up with others in co-op mode. Play it all in razor-sharp 1080p to new pulse-pounding music. Unlock all six of these innovative and challenging modes -- Deadline, Evolved, King, Pacifism, Waves, and Sequence. Achievements: Go for 12 entertaining and inventive ways to boost your gamerscore. Geoms: Collect Geoms to increase your multiplier -- but act fast, they won't last forever! New enemies: Shoot down all the usual suspects, then say ""Hello"" to new enemies that have found additional ways to hunt you down. [Activision]","Bizarre Creations","Bizarre Creations","Xbox 360","Top-Down Shoot-'Em-Up"
"Sid Meier's Civilization V","https://www.metacritic.com/game/sid-meiers-civilization-v/","90",2010-09-21,"With over nine million units sold worldwide, and unprecedented critical acclaim from fans and press around the world, Sid Meier's Civilization is recognized as one of the greatest strategy franchises of all-time. Now, Firaxis Games will take this incredibly fun and addictive strategy game to unprecedented heights by adding new ways to play and win; new tools to manage and expand your civilization; extensive modding capabilities; and intensely competitive multiplayer options. Civilization V will come to life in a beautifully detailed, living world that will elevate the gameplay experience to a whole new level making it a must-have for gamers around the globe!","Firaxis Games","2K Games","PC","4X Strategy"
"Super Mario 3D Land","https://www.metacritic.com/game/super-mario-3d-land/","90",2011-11-13,"Get Ready for a New Spin on a Familiar Tail. Super Mario 3D Land reinvents everything fans love about Mario gaming with the first platforming environment in true 3D, without the need for special glasses. Players will experience a new sense of depth, distance and speed while running, jumping and stomping on enemies throughout the levels. Tanooki Mario returns: The fan-favorite Tanooki suit makes its first appearance on the Nintendo 3DS. Use the Tanooki suit’s tail to attack enemies or float gently down from great heights. These abilities help players move through the 3D environments with more confidence. 3D visuals make it easier for players to judge the depths and distances in their environments. Players can more accurately judge the jump to the next platform or how far Mario is from a question block.  New and familiar abilities add unique game-play strategies to the adventure. Mario can perform a rolling somersault attack or run fast with a dash move. The Circle Pad gives players complete control to confidently move Mario through fun and challenging environments. New enemies include Goombas with tails, tall stacks of Goombas and a Piranha Plant that spits ink to obscure a player’s view. [Nintendo]","Nintendo","Nintendo","3DS","3D Platformer"
"Mario Kart 8 DLC Pack 2","https://www.metacritic.com/game/mario-kart-8-dlc-pack-2/","90",2015-04-23,"Downloadable goodies for MK 8 players.","Nintendo","Nintendo","Wii U","Auto Racing"
"despelote","https://www.metacritic.com/game/despelote/","90",2025-05-01,"A slice-of-life adventure about childhood and the magical grip soccer held over the people of Quito, Ecuador in 2001.

Get immersed in the streets and parks of Quito through the eyes and ears of eight year old Julián. Dribble, pass and shoot your soccer ball around town, and see what happens when you kick it someone's way.

Feel the city change as Ecuador comes closer than ever to qualifying for the World Cup.","Julian Cordero","Panic Inc.","PC, PlayStation 5, Xbox Series X, PlayStation 4, Xbox One, Nintendo Switch","Adventure"
"Falcon 4.0: Allied Force","https://www.metacritic.com/game/falcon-4-0-allied-force/","90",2005-06-28,"Pilot three different variants of the F-16 Fighting Falcon -- the best multi-role fighter ever built -- including Block 40, Block 50/52 and MLU variants. Ultra-high fidelity physics modeling closely simulates actual aircraft performance. Engage the enemy in two operational theaters -- Korea and the Balkans -- each covering over a million square Kilometers of territory. Dogfight over a wide variety of landscapes: wide seas, open grasslands, dense forests and snow capped mountains. Fly nap-of-earth missions through detailed terrain and undulating valleys. Launch a variety of air-to-air missiles like the AIM-120 AMRAAM and AIM-9 Sidewinder. Deploy a vast array of air-to-ground weaponry including the AGM-65 Maverick, AGM-88 HARM, cluster bombs, slick and high drag bombs and laser guided ordnance. Weapon systems are simulated using the most accurate publicly available specifications. Simulate an entire war with the most advanced dynamic campaign engine ever made for your PC. This remarkable feature presides over tens of thousands of vehicles: air, land and sea. No two missions ever fly the same! [Graphsim]","Lead Pursuit","Graphsim Entertainment","PC","Aircraft Combat Sim"
"The Stanley Parable: Ultra Deluxe","https://www.metacritic.com/game/the-stanley-parable-ultra-deluxe/","90",2022-04-27,"The Stanley Parable: Ultra Deluxe is an expanded re-imagining of 2013's The Stanley Parable. You will play as Stanley, and you will not play as Stanley. You will make a choice, and you will become powerless. You are not here to win. The Stanley Parable is a game that plays you.","Crows Crows Crows","Crows Crows Crows","PC, PlayStation 4, Xbox One, PlayStation 5, Xbox Series X, Nintendo Switch, iOS (iPhone/iPad)","First-Person Adventure"
"Metroid Prime 3: Corruption","https://www.metacritic.com/game/metroid-prime-3-corruption/","90",2007-08-27,"If you think you knew what it felt like to be the bounty hunter behind the visor, think again. Take aim at evil with Nintendo's revolutionary controller. Players control Samus by moving with the Nunchuk controller and aiming with the pointer, allowing for a level of immersion unlike anything they have ever experienced. Through the eyes of Samus, players experience a quantum leap in first-person control as they wield the Wii Remote, the ultimate device for the first-person shooter genre. Samus employs well-known power-ups like the Grapple Beam and Morph Ball, as well as a bunch of new surprises, to help her survive her coming trials. Saving the planets from Corruption isn't enough, though. Eventually, players must take down Samus' mortal enemy, Dark Samus. [Nintendo]","Retro Studios","Nintendo","Wii, GameCube","FPS"
"Flight Simulator 2002","https://www.metacritic.com/game/flight-simulator-2002/","90",2001-10-19,"Includes a wide variety of aircraft for you to fly-from a new Cessna 172S single-engine trainer and a Caravan floatplane to the Boeing 747-400 jumbo jet. You can splash down in a lake, hover in the Bell 206B JetRanger III helicopter, or practice aerobatics in the Extra 300S. [Microsoft]","Microsoft Game Studios","Microsoft Game Studios","PC","Aircraft Sim"
